,duration,end_of_fade_in,key,loudness,mode,start_of_fade_out,tempo,time_signature,artist_name,title,e_billboard
36,95.34649,3.349,6,-13.174,1,95.346,118.772,4,Voyage,Trancesequence,0.0
37,437.7073,0.154,11,-8.105,1,429.116,132.926,4,Wishbone Ash,Wonderful Stash,0.0
38,456.59383,0.073,7,-5.688,1,451.791,99.162,4,Malavoi,La filo,0.0
39,246.54322,0.258,4,-7.957,1,235.079,94.782,4,Cobra Verde,Throw It Away,0.0
40,141.87057,0.525,11,-7.572,1,141.871,158.802,4,Lisa Brokop,Before He Kissed Me,0.0
41,276.1922,2.659,7,-13.729,0,262.165,168.762,4,The Emotions,Blessed,0.0
42,424.17587,0.0,10,-6.781,0,417.733,144.993,4,Safi Connection,Goa Amsterdam,0.0
43,181.81179,7.982,1,-6.844,0,176.385,119.919,4,Hawthorne Heights,Disaster [Demo Version],0.0
44,175.20281,0.177,9,-9.049,0,163.776,156.753,4,The Maytals,Night And Day,0.0
45,228.44036,0.073,5,-7.711,0,219.899,112.945,4,Neffa,Passione,0.0
46,241.05751,0.0,6,-11.773,0,241.058,135.414,4,Lil O,My Everything [Screwed] (feat. Trae The Truth),0.0
47,282.93179,4.807,10,-3.828,0,279.406,162.002,4,Billy Idol,Scream,0.0
48,168.04526,0.0,0,-8.818,1,156.032,86.363,3,The Vichy Government,The Man Delusion,0.0
49,240.87465,3.582,4,-7.581,0,240.875,141.562,4,Out Of The Grey,He Is Not Silent (Out Of The Grey Album Version),0.0
50,209.50159,3.529,4,-7.576,0,203.122,98.814,1,Orquesta Sonara La Habana,Pepe El Mañoso,0.0
51,152.68526,0.473,5,-13.675,1,146.727,89.747,4,Leo Marini,Acércate Más,0.0
52,137.50812,0.0,6,-11.214,0,134.362,89.839,4,Sheb Wooley,Mule Boogie,0.0
53,349.98812,0.357,0,-15.698,1,331.372,109.398,4,Diana Krall,Dancing In The Dark,0.0
54,201.1424,0.0,7,-11.477,1,197.364,114.493,4,Clifford T. Ward,Mad About You,0.0
55,130.0371,2.763,4,-8.014,1,123.878,181.257,1,Ray Conniff;Billy Butterfield,Heartaches,0.0
56,113.37098,0.0,9,-4.715,0,113.371,121.931,3,Weekend Nachos,Pain Over Acceptance,0.0
57,224.46975,0.142,8,-8.835,1,212.085,118.028,4,Joe Diffie,Ships That Don't Come In,0.0
58,232.82893,0.142,2,-9.313,1,221.466,95.853,4,Blackfoot,Saturday Night  (LP Version),0.0
59,200.09751,3.059,10,-8.521,1,191.187,75.507,4,Katie Armiger,I Just Want To Be With You This Christmas,0.0
60,250.98404,0.165,5,-4.264,1,238.039,135.598,4,Stemm,On the Surface,0.0
61,244.40118,2.183,8,-9.759,1,230.986,101.028,3,Aerosmith,Remember (Walking In The Sand),40.0
62,194.29832,0.879,10,-20.896,0,185.539,121.421,7,Hot Lips Page,Just Another Woman,0.0
63,12.2771,0.38,10,-14.337,0,12.277,0.0,1,David Fridlund,untitled,0.0
64,152.24118,0.084,2,-6.768,1,152.241,128.175,1,Kultiration,Bakslag,0.0
65,300.72118,0.0,5,-5.036,1,287.347,119.997,4,Ewigkeit,The New Way,0.0
66,162.14159,0.084,11,-12.391,0,154.662,99.968,4,JOHN DOE,Suffer,0.0
67,350.56281,0.065,1,-7.05,1,329.787,97.203,4,Alpha 5.20,Cités dortoires (feat. 59 Grammes),0.0
68,194.5073,0.218,1,-4.668,1,191.292,140.025,5,Tonex,Bring It,0.0
69,200.6722,0.0,4,-6.873,1,195.698,154.004,4,Chasen,You And I,0.0
70,315.32363,0.258,2,-9.382,1,304.448,191.869,3,Finis Tasby,Sitting In My Window (Finis Tasby BMI),0.0
71,531.17342,2.177,11,-11.258,0,527.552,126.017,4,Ogris Debris,Raid The Itch,0.0
72,279.30077,0.0,7,-6.772,1,271.029,125.737,4,Warren Zevon,The Rest of the Night,0.0
73,241.78893,0.194,0,-9.089,1,238.788,91.974,4,Andrea Klas,Ride,0.0
74,322.71628,0.212,9,-7.889,1,319.083,89.982,4,The Soup Dragons,Passion Protein,0.0
75,192.49587,0.0,8,-4.871,1,187.977,213.979,4,Write This Down,Redemption,0.0
76,279.84934,0.293,6,-11.818,1,273.966,120.013,4,Radio Macandé,Dame Tus  Besos,0.0
77,225.95873,0.299,2,-8.988,1,219.283,125.492,4,Claire Hamill,Don't Prolong the Agony (Bonus Track),0.0
78,253.23057,0.073,2,-5.943,1,247.391,191.927,4,Kruiz,Dalny svet (bonus 2003),0.0
79,180.13995,0.324,2,-21.25,0,175.148,123.172,4,Carl Davis,Alice in Wonderland: Act I: The Caucus Race,0.0
80,195.10812,0.349,5,-4.585,0,189.742,164.452,1,Brigitte Fontaine,Le mauvais coton,0.0
81,241.162,1.146,8,-20.523,1,224.049,166.401,4,Abijah,Love Can Change feat. Nadine Sutherland,0.0
82,480.05179,3.959,3,-19.469,0,477.147,125.159,4,Hex,Subtek,0.0
83,218.53995,0.171,4,-5.164,0,210.889,82.009,3,X-Perience,Dream Of Love,0.0
84,394.23955,0.0,0,-7.122,1,379.629,168.837,3,Diablo Swing Orchestra,Lucy Fears the Morning Star,0.0
85,215.09179,0.298,2,-26.023,1,192.592,132.37,1,John Williams,Fool on the Hill,0.0
86,356.51873,0.067,6,-4.634,1,344.335,82.17,4,Fucked Up,Baiting the Public,0.0
87,258.53342,0.0,7,-13.031,1,249.382,131.061,4,Drexel,Death Acceptor,0.0
88,154.85342,0.0,9,-9.336,0,145.479,150.887,4,The Surfaris,Wipeout,0.0
89,11.75465,0.0,8,-7.598,1,11.755,47.649,1,Kool Savas,Fick uns,0.0
90,298.05669,2.09,1,-4.186,1,298.057,93.052,4,Prinz Porno,Wir Sind Die Jungs feat. Din & Smexer,0.0
91,291.68281,0.0,1,-5.51,1,283.678,163.931,4,Lord T & Eloise,Make Dat Monet,0.0
92,329.40363,6.269,4,-8.135,0,299.148,144.005,4,Kingdom Come,Two Legged Sheep,0.0
93,259.99628,0.0,0,-5.652,0,255.623,93.384,4,Gemelli Diversi,Chi Sei Adesso,0.0
94,168.33261,0.177,5,-3.438,0,163.654,141.063,4,Alice In Videoland,Stuck On My Vision,0.0
95,200.28036,0.0,2,-7.405,0,188.418,97.077,4,Kristian Meurman,Joku muu,0.0
96,179.59138,3.75,5,-8.754,0,165.523,168.024,4,Felt,Whaleface (Instrumental),0.0
97,251.50649,0.0,2,-10.792,1,249.139,86.2,4,Gangster Fun,Brown Paper Bag,0.0
98,194.53342,0.34,0,-14.914,1,189.492,71.513,1,Roger Whittaker,You Needed Me,0.0
99,225.35791,0.171,7,-5.232,1,221.269,120.115,4,A.Human,Pacey Singer,0.0
100,258.32444,0.229,9,-9.207,0,249.342,184.879,1,Beck_ Bogert_ Appice,Superstition,0.0
101,219.79383,0.09,7,-6.106,1,212.538,130.02,4,Tiësto,Ride,0.0
102,250.74893,0.636,1,-5.32,1,250.749,107.989,4,Ice Cube Featuring Chuck D,Endangered Species (Tales From The Darkside) (Remix) (Explicit) (Feat. Chuck D),0.0
103,214.72608,0.502,2,-16.003,1,210.036,99.101,4,Archie Roach,Summer Of My Life,0.0
104,161.95873,2.38,8,-11.271,1,155.202,159.434,4,Lester Flatt / Earl Scruggs / The Foggy Mountain Boys,Foggy Mountain Breakdown,0.0
105,776.25424,9.433,1,-28.684,0,718.658,38.14,4,Mikhail Pletnev,Sonata No. 10 Op. 70,0.0
106,435.09506,0.0,2,-9.669,1,419.248,127.963,4,Janette Slack,Red Ramona,0.0
107,167.00036,0.0,6,-18.653,0,158.157,195.338,1,Luis Eduardo Aute,What Matters Is Just You,0.0
108,182.5171,0.403,2,-12.337,1,172.362,241.715,4,Lonesome River Band,Southern Comfort,0.0
109,130.08934,0.0,4,-7.103,0,130.089,135.011,4,Retard-O-Bot,Something From Nothing,0.0
110,324.30975,0.157,0,-9.989,1,301.279,80.04,3,Michael Whalen,Half Light,0.0
111,497.50159,0.142,1,-6.15,0,489.494,171.459,4,Kaze,Bonus Track,0.0
112,195.49995,0.231,9,-8.828,1,188.308,85.916,4,Mark Wills,High Low And In Between,0.0
113,372.92363,0.0,8,-14.242,1,372.924,89.41,3,Roberto Carlos,Detalles,0.0
114,295.94077,0.322,0,-7.449,1,288.845,94.86,4,Fine China,Rock Can't Last Forever  (You Hate Me Hate Music Album Version),0.0
115,227.47383,0.0,11,-7.436,0,214.732,90.666,4,Morcheeba,Get Along (Feat: Pace Won) (Instrumental),0.0
116,377.0771,2.839,0,-20.068,1,365.296,103.804,4,"Richard ""Groove"" Holmes",Caravan,0.0
117,678.89587,3.088,1,-14.64,1,661.438,80.082,4,Lamb,Just Is,0.0
118,460.69506,0.0,4,-15.298,0,444.836,125.013,4,Sektosixo,The Life That I Never Had,0.0
119,384.67873,0.845,0,-15.607,1,377.452,149.986,4,DJ Markitos,Inside Your Dreams,0.0
120,204.61669,0.222,4,-4.782,0,201.95,89.966,4,The Beatnuts,Hot (Album Version),0.0
121,531.74812,0.0,10,-7.025,0,516.023,129.998,5,Ronski Speed presents Sun Decade,Have It All,0.0
122,181.99465,0.0,10,-11.915,1,174.388,97.537,4,Jeannie C. Riley,Words - Re-Recording,0.0
123,307.51302,3.64,6,-6.173,0,300.884,98.023,4,Bacilos,Viejo,0.0
124,232.51546,0.354,1,-12.0,1,217.693,78.501,4,Toyah,Victims of the Riddle [Vivisection],0.0
125,226.19383,0.984,1,-5.412,0,214.825,146.016,4,The Wolfmen,Kama Sutra,0.0
126,176.37832,0.0,0,-13.485,1,168.356,87.994,4,Fausto Leali,E non lo scorderò,0.0
127,174.70649,0.289,11,-7.199,0,171.265,136.494,1,Link 80,What Can I Do?,0.0
128,285.70077,0.996,11,-11.533,0,283.591,82.679,5,Linkwood,Whats up with the Underground,0.0
129,471.74485,6.658,8,-14.819,0,426.864,139.019,4,Spyro Gyra,Pacific Sunrise,0.0
130,617.53424,0.392,9,-16.496,1,553.488,124.824,4,White Willow,Gnostalgia,0.0
131,258.61179,0.0,9,-5.394,0,247.896,101.793,3,Robbie Williams,Sin Sin Sin (Sentience Loney Mix),0.0
132,193.64526,0.258,7,-9.386,1,181.197,134.012,4,Prager Handgriff,Bihac,0.0
133,93.30893,0.0,10,-4.322,0,93.309,98.661,4,Marc Live,Hard Life Feat Raw Breed,0.0
134,514.63791,0.183,6,-7.809,0,505.818,136.923,4,Paul Miller,Memories Of Love - Original Mix,0.0
135,160.07791,2.009,2,-27.183,1,152.34,98.789,4,American Boychoir,Praise_ My Soul_ The King Of Heaven,0.0
136,272.92689,0.179,6,-6.223,0,268.283,80.064,4,Thought Industry,Edward Smith,0.0
137,229.01506,0.219,11,-7.09,1,210.768,85.194,4,Red Animal War,Dark Country,0.0
138,175.59465,0.316,6,-15.301,1,170.162,122.722,4,Lonesome River Band,Highway Paved With Pain,0.0
139,706.40281,0.376,4,-14.288,1,669.095,116.998,4,Jason Becker,End Of The Beginning (Album Version),0.0
140,220.682,2.932,7,-10.12,1,215.388,123.958,4,Sunscreem,Britannia,0.0
141,185.36444,0.148,4,-5.995,1,185.364,100.01,4,Motormark,I'm About To Do Something (That I'm Gonna Regret),0.0
142,444.73424,0.0,11,-8.948,1,434.579,127.988,4,Underworld,Ring Road,0.0
143,442.51383,0.159,0,-9.761,0,434.753,93.352,3,Airscape,LEsperanza,0.0
144,226.11546,0.182,11,-9.908,0,222.244,67.826,3,Neal Morse,That Crutch,0.0
145,133.58975,0.16,7,-11.278,1,120.036,147.948,1,Al Green,I Say A Little Prayer,0.0
146,319.05914,2.072,0,-12.626,1,313.51,151.26,4,The Muffins,Dawning Star,0.0
147,245.28934,0.0,2,-9.542,1,241.046,109.967,4,The Funky Lowlives,Irreplaceable,0.0
148,519.3922,3.007,10,-10.033,0,513.916,128.069,4,Autechre,AcroyearII,0.0
149,252.23791,0.171,4,-10.665,1,228.299,108.885,4,Brian Vander Ark,And Then You Went Away,0.0
150,136.88118,0.39,1,-8.008,1,131.146,147.355,4,Debbie Davies,You Don't Know What You're Doing,0.0
151,289.33179,3.791,11,-17.869,0,259.036,167.04,4,Boo Hewerdine,Touched (Intro: From 'That Winter' By Pamela Gillilan),0.0
152,270.47138,0.321,8,-10.71,0,253.841,119.758,4,Katatonia,Day,0.0
153,305.78893,6.676,2,-7.666,1,293.03,140.087,4,Zen Cafe,En oo koskaan tavannut,0.0
154,182.62159,0.0,7,-6.075,1,182.622,116.247,5,DJ Rupture,B15 Apna Sangheet Sings Apna Sangsheet_ Ruled By The Mob,0.0
155,225.2273,2.746,1,-4.28,1,221.263,135.653,3,Warlocks,Militant Musicfreaks,0.0
156,113.78893,0.386,10,-19.155,1,103.851,152.012,1,Luis Bacalov,The Color Of The Water / Dreaming Of The Future,0.0
157,169.40363,4.656,7,-10.506,1,158.064,144.032,4,AJP,Nothing More to Say,0.0
158,172.06812,0.0,2,-5.752,1,168.182,109.222,4,La Souris Déglinguée,Rock'n'roll vengeance,0.0
159,171.54567,8.777,4,-10.976,0,163.184,110.994,4,Mickey 3D,Qui ? (version baba cool),0.0
160,146.20689,0.247,2,-8.95,1,135.001,117.574,4,William Lee Ellis,Four Horses,0.0
161,161.35791,0.334,0,-6.559,0,151.324,167.843,4,Glen Glenn,Laurie Ann,0.0
162,178.88608,3.477,2,-18.946,1,164.171,155.655,7,Sofia Karlsson,Näckaspel,0.0
163,363.57179,0.101,7,-8.89,1,354.615,91.971,5,Krid P,Get Up (Club Mix),0.0
164,171.88526,0.42,5,-7.959,1,167.027,118.126,3,Golden Boys,Melodia Do Amor,0.0
165,257.61914,0.403,1,-13.506,1,245.557,124.38,3,STEVE TAYLOR,Whatcha Gonna Do When Your Number's Up?   (The Best We Could Find Album Version),0.0
166,185.25995,0.0,1,-7.437,1,181.801,141.005,4,Junkyard,Waste of Time,0.0
167,354.45506,0.902,11,-6.018,0,349.124,128.989,4,JK,Deep in the night,0.0
168,220.96934,0.0,10,-11.145,0,215.29,101.861,3,Christos Dantis,Skase,0.0
169,226.06322,0.363,4,-9.176,0,214.756,90.49,4,Teairra Marí,Make Her Feel Good,0.0
170,216.63302,0.0,1,-4.291,1,206.739,147.977,1,Silent Kids,Radio Was Unplugged,0.0
171,221.59628,0.192,2,-22.987,1,217.368,97.318,4,Morrissey,Margaret On The Guillotine (LP Version),0.0
172,123.71546,2.107,6,-18.139,1,114.788,132.41,1,Laurel & Hardy,At the Ball_ That's All,0.0
173,350.1971,0.098,4,-6.952,1,350.197,120.084,4,Pestilence,Presence Of The Dead (Album Version),0.0
174,602.90567,0.209,2,-24.985,0,592.765,46.079,4,Juilliard String Quartet,The Art of the Fugue_ BWV 1080/Contrapunctus XIV,0.0
175,270.78485,0.0,7,-7.363,1,260.104,117.125,3,Biffy Clyro,Love Has A Diameter,0.0
176,328.80281,0.154,7,-8.445,1,325.764,136.832,4,Mental Overdrive,Communion,0.0
177,347.97669,0.0,1,-5.199,0,325.904,99.993,1,Exhumed,No quarter,0.0
178,223.9473,0.316,7,-7.417,1,216.16,119.301,4,Johnny Cash,Rowboat,0.0
179,220.57751,0.88,3,-7.916,0,210.129,132.971,4,I_ Synthesist,Captain_ My Captain,0.0
180,239.75138,0.132,9,-6.769,1,233.906,113.445,4,Derek Trucks;Solomon Burke,Home In Your Heart,0.0
181,181.81179,0.0,11,-10.819,0,172.228,183.791,4,Anael Miller,Pourquoi,0.0
182,171.7024,0.073,11,-4.774,0,166.655,118.594,7,New York Rel-X,Sold Out Of Love,0.0
183,198.66077,0.403,4,-8.393,0,191.646,123.853,4,Sensations,He's So Brave,0.0
184,179.51302,0.399,5,-10.23,1,165.622,101.151,4,Bad Dreams Fancy Dress,Rave Up,0.0
185,181.39383,2.659,8,-9.098,1,175.647,121.991,4,Blue Foundation,02.17 AM,0.0
186,114.99057,2.99,11,-11.582,0,111.113,175.877,4,The Real Kids,She's Alright,0.0
187,50.78159,2.49,6,-6.551,0,50.782,98.199,1,Dora The Explorer,The Itsy Bitsy Spider,0.0
188,643.36934,1.025,10,-12.468,0,637.626,100.275,4,Billy Cobham,Mirage,0.0
189,303.33342,0.0,1,-4.8,0,303.333,122.94,4,EM1,How Great Is Our King,0.0
190,225.59302,1.106,9,-11.709,0,212.294,130.019,4,Santa Claws and the Naughty But Nice Orchestra,Battery,0.0
191,386.32444,0.0,11,-6.58,0,379.896,130.984,4,Foals,Black Gold,0.0
192,172.32934,0.195,2,-17.488,1,159.817,121.354,3,Peter Yarrow,Mary Beth,0.0
193,410.90567,0.694,9,-13.36,0,398.884,241.309,4,Lird Van Goles,Walk In Holy Ghostwood/Time's Going On,0.0
194,188.73424,0.125,3,-11.806,1,185.713,100.459,1,Mississippi Sheiks,When You're Sick With The Blues,0.0
195,217.33832,0.0,1,-5.891,0,217.338,140.02,4,Jessica Folcker,Snowflakes (VeebeeO Remix),0.0
196,257.27955,0.0,0,-5.413,1,257.28,90.098,4,Visaci Zamek,Traktor,0.0
197,178.75546,0.164,6,-16.766,0,173.087,145.223,4,BuRo,I Can't Take The Runnings Ina Babylon - Original,0.0
198,225.95873,0.0,2,-4.338,1,221.634,111.929,4,Bryn Christopher,Smilin',0.0
199,189.46567,0.0,9,-5.798,0,189.466,94.041,4,Voltio,Atrevida Bandolera,0.0
200,333.92281,0.263,7,-9.506,1,328.574,94.2,3,Hexstatic feat. Juice Aleem,Distorted Minds,0.0
201,301.97506,0.096,6,-15.846,1,293.32,99.812,1,Travolta,Esa Cancion Nos Salvo,0.0
202,872.41098,2.961,11,-11.67,0,866.424,86.697,7,Mediengruppe Telekommander,Trend / Sprengkörper (Medley) (Live),0.0
203,223.79057,0.113,2,-7.701,1,218.244,149.081,1,Middle Distance Runner,The Unbeliever,0.0
204,249.57342,0.0,7,-11.099,1,243.873,83.719,4,Denison Witmer,Paper Doll,0.0
205,258.42893,0.328,1,-6.661,1,252.558,132.979,1,Boney M. 2000,Gotta Go Home,0.0
206,220.76036,0.467,7,-15.965,1,210.454,103.253,4,Michael Stanley Band,Gypsy Eyes,0.0
207,268.30322,2.119,6,-25.946,1,237.459,84.646,4,Boston Pops Orchestra,Valse Lente,0.0
208,49.52771,3.094,5,-13.123,1,49.528,165.0,4,The Show is the Rainbow,Three,0.0
209,78.2624,0.067,7,-3.737,1,75.146,118.745,4,Kill The Client,Gridlock,0.0
210,213.78567,0.56,4,-6.471,1,198.258,134.899,4,Giant Drag,White Baby,0.0
211,207.85587,0.0,2,-5.701,0,195.5,160.21,4,Thursday,A Hole In The World (Album Version),0.0
212,369.21424,0.397,9,-15.275,0,347.301,137.513,4,Lisa Lynne and Georege Tortorelli,The Journey,0.0
213,195.91791,0.0,7,-6.911,1,185.08,143.0,1,The Peelers,That's Why I'm Leaving,0.0
214,178.6771,0.194,2,-10.042,1,168.316,140.369,4,Janie Fricke,Your Heart's Not In It,0.0
215,230.94812,0.189,5,-6.552,1,228.084,126.182,5,Johnny Ventura,La Inseminacion,0.0
216,302.34077,0.2,2,-12.757,0,300.031,118.231,5,Willie Barcena,Willie Barcena,0.0
217,552.69832,0.357,11,-7.926,0,547.097,128.094,4,Miquel Brown,This Time It's Real,0.0
218,174.13179,0.403,10,-19.506,0,160.52,81.157,5,Davol,Final Promise (World),0.0
219,313.41669,8.586,0,-4.271,1,296.681,120.068,4,The Cult,Stand Alone (Album Version),0.0
220,189.54404,7.755,8,-19.685,1,175.589,65.13,7,J. Tillman,If I Get to the Borderline,0.0
221,266.08281,0.0,11,-8.526,0,252.244,137.994,4,Arabesque,Hit Medley Part Three,0.0
222,185.86077,0.073,8,-14.254,0,177.708,92.497,4,Asheru And Blue Black Of The Unspoken Heard,How You Livin? f/J-Live & Grap Luva & Sondia,0.0
223,519.88853,0.0,2,-11.072,1,514.38,97.929,4,Joshua Redman,Insomnomaniac,0.0
224,376.73751,0.0,5,-12.16,1,369.511,75.549,4,Leonard Cohen,Tonight Will Be Fine,0.0
225,135.99302,0.26,2,-17.702,0,132.122,148.874,4,Linda Ronstadt,Straighten Up And Fly Right  (LP Version),0.0
226,161.09669,0.514,5,-20.056,1,156.949,104.567,1,Michael Card,Will You Not Listen?,0.0
227,188.08118,0.293,9,-7.718,1,188.081,124.401,4,Floor,Kallisti  Song For Eris,0.0
228,152.45016,0.362,1,-8.257,0,147.592,194.718,4,Eddie Jones,Country Boogie Fever,0.0
229,274.02404,1.222,10,-13.508,0,263.094,113.405,4,Falco,Zuviel Hitze,0.0
230,118.33424,0.194,3,-23.72,1,112.106,92.492,1,Lighnin' Hopkins,Bunion Blues,0.0
231,246.7522,0.218,4,-9.568,0,230.168,81.034,4,Perturbazione,Se Fosse Adesso,0.0
232,367.51628,0.27,4,-15.303,1,353.344,96.737,4,Bobbi Humphrey,Please Set Me At Ease,0.0
233,209.50159,0.218,8,-14.589,0,193.231,95.025,3,Mary Louise Wilson,What Would You Do?,0.0
234,285.88363,0.0,8,-6.351,1,283.08,138.439,4,Angelus Apatrida,Killers And Killed,0.0
235,247.50975,0.463,1,-8.23,1,229.384,107.477,4,The Clark Sisters,No Doubt About It  (Miracle Album Version),0.0
236,271.38567,0.421,2,-6.884,1,253.91,110.345,4,Operator Please,Pantomime,0.0
237,473.5473,0.079,6,-8.482,0,463.946,82.651,1,Spencer Parker,Beautiful Noise,0.0
238,215.71873,0.0,0,-14.844,1,215.719,164.04,4,Katie Melua,Nine Million Bicycles,0.0
239,222.1971,0.096,1,-8.184,0,208.149,95.987,4,Shinedown,Call Me (Album Version),0.0
240,189.12608,0.258,11,-3.792,0,180.535,85.202,3,The Cranberries,Do You Know,0.0
241,293.3024,0.311,8,-8.757,1,283.034,91.276,4,Juan Formell y los Van Van,La titimania,0.0
242,229.48526,0.076,10,-2.811,0,226.186,84.673,1,Teenage Bad Girl,Vacuum,0.0
243,373.34159,0.0,1,-6.677,0,357.117,140.557,4,Scandinavian Music Group,Sä,0.0
244,179.90485,0.0,0,-10.035,0,171.59,100.966,4,Martina McBride,You Win Again,0.0
245,116.71465,0.2,0,-12.947,1,105.082,145.921,4,Michael Cera & Ellen Page,Anyone Else But You,12.0
246,109.47873,0.38,5,-18.234,0,103.242,91.714,4,Scott Glasgow,Maia Sterling,0.0
247,318.30159,0.0,10,-5.721,1,305.998,96.985,4,Bone Thugs-N-Harmony,Wanna Be (Explicit Album Version),0.0
248,205.19138,0.996,7,-4.542,1,196.888,91.938,4,Lou Rhodes,The Rain,0.0
249,224.46975,0.0,0,-8.045,1,219.504,132.324,4,Elizabeth Daily,Shake It Up,0.0
250,248.89424,0.16,7,-9.97,1,236.565,107.48,4,Russ Taff,I Cry (LP Version),0.0
251,282.46159,0.364,4,-7.853,0,277.357,167.841,4,Peter Schilling & Boom-Bastic,Major Tom '94(English Version),0.0
252,215.69261,0.0,1,-4.961,0,215.693,92.308,4,Brandy,Who I Am,0.0
253,500.45342,0.194,9,-7.821,0,486.905,128.008,4,Cricco Castelli,Escape From Rome,0.0
254,352.88771,0.0,1,-14.669,1,346.366,129.019,4,Peter Van Hoesen,Strikethrough,0.0
255,223.9473,0.0,4,-10.988,1,215.307,149.998,4,Harper Simon,Henrieta,0.0
256,228.46649,0.311,9,-6.375,0,216.311,120.011,4,3 Doors Down,Your Arms Feel Like Home,0.0
257,233.63873,0.0,3,-6.615,0,229.663,114.115,4,Medeski_ Martin & Wood/Sa Ra Creative Partners,Midnight Birds (Sa Ra Remix),0.0
258,81.73669,0.0,2,-19.034,1,72.818,124.555,7,Cornelis Vreeswijk,Telegram för en tennsoldat,0.0
259,155.16689,0.114,11,-5.131,0,146.442,168.064,4,Brazilian Girls,Never Met A German,0.0
260,57.7824,0.084,4,-3.033,1,55.385,192.768,1,Career Suicide,Stones You Throw,0.0
261,312.55465,0.218,1,-11.541,1,296.414,122.988,4,Photek,Solaris,0.0
262,360.09751,0.183,9,-12.039,1,355.428,175.479,4,Gilberto Gil,Oriente,0.0
