,danceability,duration,end_of_fade_in,energy,key,loudness,mode,start_of_fade_out,tempo,time_signature,artist_familiarity,artist_hotttnesss,artist_latitude,artist_location,artist_longitude,artist_name,release,song_hotttnesss,title,year
6603,0.0,180.55791,0.113,0.0,9,-2.719,1,172.414,133.009,4,0.847451713218,0.779968004597,49.26044,"Hanna, Alberta, Canada",-123.11403,Nickelback,All The Right Reasons,0.254140521624,Side Of A Bullet (Album Version),2005
7309,0.0,141.7922,0.271,0.0,3,-13.243,1,135.059,138.842,4,0.817256939293,0.779558979607,,"Kingsland, AR",,Johnny Cash,Mi Love Collection,0.565997030761,I Just Thought Youd Like To Know (Digitally Remastered),0
7504,0.0,351.45098,0.096,0.0,7,-6.03,1,338.402,141.712,4,0.827411365123,0.689625248209,,"Glen Dale, WV",,Brad Paisley,American Saturday Night,,Welcome To The Future,2009
7632,0.0,243.19955,0.187,0.0,8,-5.036,1,232.571,122.313,3,0.821841171811,0.840963346455,,British Columbia,,Michael Bublé,Now That's What I Call Music! 74,,Haven't Met You Yet (Album Version),2010
8183,0.0,60.96934,0.491,0.0,7,-23.164,1,57.916,90.655,5,0.827411365123,0.689625248209,,"Glen Dale, WV",,Brad Paisley,Mud On The Tires,0.497647098499,Kung Pao,2003
8556,0.0,108.48608,0.293,0.0,1,-7.068,1,103.108,170.444,1,0.814829656133,0.735765692951,51.50632,"London, England",-0.12714,The Rolling Stones,The Rolling Stones Singles Collection: The London Years,0.744069733039,Come On,1963
9028,0.0,254.58893,0.09,0.0,4,-6.512,0,238.37,88.109,4,0.934935267398,0.787005468689,40.71455,"New York, New York",-74.00712,Mariah Carey,Music Box / Rainbow (Coffret 2 CD),,Did I Do That?,1999
9608,0.0,250.43546,0.0,0.0,10,-15.261,1,241.998,76.324,3,0.817256939293,0.779558979607,,"Kingsland, AR",,Johnny Cash,Original Album Classics,,Old Doc Brown,1960
9623,0.0,136.202,0.0,0.0,6,-13.71,1,126.38,134.526,1,0.842332789509,0.747251065679,,"Kingsland, AR",,Johnny Cash,The Legend,,I Was There When It Happened,1957
9887,0.0,222.45832,0.408,0.0,0,-8.813,0,212.526,73.547,4,0.866519754051,0.899991594263,,,,Michael Jackson,Anthology: The Best Of  Michael Jackson,,Maria (You Were The Only One),1972
10687,0.0,254.82404,0.258,0.0,2,-13.223,1,254.824,99.342,4,0.852136186667,0.780334119573,,"Los Angeles, CA",,Metallica,Kill 'Em All,0.769665436211,(Anaesthesia) Pulling Teath,1983
10780,0.0,271.22893,7.639,0.0,3,-7.553,0,271.229,141.201,4,0.843526543333,0.750311503248,,"Dublin, Ireland",,U2,Sweetest Thing,,Twilight,1980
11320,0.0,214.49098,0.706,0.0,6,-8.658,1,198.124,122.035,4,0.934935267398,0.787005468689,40.71455,"New York, New York",-74.00712,Mariah Carey,Music Box,0.710143659561,Without You,1993
11487,0.0,213.02812,0.125,0.0,9,-4.829,1,209.734,153.005,4,0.859513992879,0.796139405898,,"Berkeley, CA",,Green Day,The Original Broadway Cast Recording 'American Idiot' Featuring Green Day,0.767881827232,Give Me Novacaine [feat. Green Day & The Cast Of American Idiot] (Album Version),0
11806,0.0,242.93832,0.0,0.0,6,-4.544,1,235.427,122.993,4,0.830884642148,0.816312599454,,,,Weezer,Make Believe,0.756421952911,The Damage In Your Heart,2005
12437,0.0,259.65669,0.189,0.0,0,-7.672,1,250.671,168.672,4,0.850789988555,0.838095532425,40.23447,"Freehold, NJ",-74.29504,Bruce Springsteen,We Shall Overcome  The Seeger Sessions American Land Edition,,Mrs. McGrath,2006
12538,0.0,310.15138,0.0,0.0,0,-7.613,1,298.133,98.833,5,0.842673051097,0.872838920624,,"Atlanta, GA",,T.I.,Paper Trail,0.672212054609,You Ain't Missin' Nothing (Explicit Album Version),2008
12791,0.0,197.642,0.299,0.0,9,-9.795,0,181.418,91.125,4,0.866519754051,0.766545450757,,,,Michael Jackson,20th Century Masters: The Millennium Collection: Best of Michael Jackson,,People Make The World Go Round,1986
12826,0.0,272.50893,0.0,0.0,1,-13.419,1,267.198,172.566,4,0.70747876636,0.699277460562,,,,Adam Sandler,Shhh...Don't Tell,0.411971887423,Whore!  Where Are You?! (Album Version),0
12979,0.0,277.05424,0.16,0.0,11,-4.481,1,266.838,83.064,4,0.849940236388,0.785509346869,,,,Weezer,Make Believe,,Haunt You Every Day,2005
13066,0.0,355.3171,0.554,0.0,5,-10.267,1,344.062,151.228,1,0.835271500301,0.7417239014,41.08419,"Akron, OH",-81.51406,The Black Keys,Magic Potion,0.744282660754,Goodbye Babylon,2006
13520,0.0,392.51546,0.206,0.0,4,-9.219,0,388.272,152.038,4,0.644733015933,0.646207352339,41.26069,"Omaha, NE",-95.93995,Mannheim Steamroller,To Russia With Love,0.382935090075,Dancing Flames,1981
13853,0.0,192.62649,0.0,0.0,5,-11.091,1,192.626,91.582,3,0.737437395434,0.674344138853,,"Charlemagne, Quebec, Canada",,Céline Dion,A L'Olympia,0.400039656955,Elle,1985
14012,0.0,247.35302,0.0,0.0,10,-10.783,1,234.109,92.317,7,0.737437395434,0.663686475969,,"Charlemagne, Quebec, Canada",,Céline Dion,A L'Olympia,,Quand on n'a que l'amour,1994
14697,0.0,190.69342,0.171,0.0,10,-11.792,1,183.223,168.238,1,0.817256939293,0.746403980181,,"Kingsland, AR",,Johnny Cash,The Sun Years CD3,,Thanks A Lot - Alternate,0
14766,0.0,301.71383,0.665,0.0,5,-12.988,1,297.059,73.536,4,0.8650215115,0.916053228284,,,,Coldplay,Live Lounge,,The Scientist,2002
15392,0.0,223.99955,2.212,0.0,4,-11.247,1,210.721,114.126,4,0.929030287441,0.750426551019,54.31407,UK,-2.23001,Muse,Uno,,Uno [Alternative Version],0
16042,0.0,155.45424,2.305,0.0,10,-16.188,1,149.542,180.431,4,0.817256939293,0.779558979607,,"Kingsland, AR",,Johnny Cash,Love,,I Still Miss Someone,1959
16500,0.0,93.98812,0.305,0.0,4,-8.579,1,90.738,109.98,4,0.875047712827,0.733839466218,51.50632,"London, England",-0.12714,The Rolling Stones,December's Children (and everybody's),,She Said Yeah,1965
16690,0.0,230.21669,0.16,0.0,0,-5.408,1,224.125,88.064,4,0.847451713218,0.779968004597,49.26044,"Hanna, Alberta, Canada",-123.11403,Nickelback,Silver Side Up,0.75785933515,Woke Up This Morning (Album Version),2001
16750,0.0,221.28281,0.106,0.0,6,-9.764,1,217.751,91.817,4,0.835271500301,0.7417239014,41.08419,"Akron, OH",-81.51406,The Black Keys,Magic Potion,0.756644925602,Just A Little Heat,2006
17480,0.0,133.27628,0.0,0.0,8,-3.861,1,126.044,185.963,4,0.859513992879,0.812307796139,,"Berkeley, CA",,Green Day,Insomniac,0.687361950903,Westbound Sign  (Album Version),1995
17503,0.0,188.00281,0.0,0.0,7,-18.173,1,183.635,103.105,1,0.875047712827,0.733839466218,51.50632,"London, England",-0.12714,The Rolling Stones,Rolled Gold +,,Lady Jane,1966
17557,0.0,332.40771,0.096,0.0,2,-13.667,1,326.008,103.173,4,0.817256292502,0.779558979607,,"Kingsland, AR",,Johnny Cash,God,,Man In White,2000
17602,0.0,32.49587,0.717,0.0,5,-16.001,1,32.496,215.865,7,0.835271500301,0.7417239014,41.08419,"Akron, OH",-81.51406,The Black Keys,Chulahoma,0.565997030761,Junior's Widow,0
17973,0.0,390.5824,0.085,0.0,11,-3.462,0,387.361,110.502,4,0.86652031981,0.808502136703,,,,Michael Jackson,Bad / Dangerous,0.739973793005,In The Closet,1991
18278,0.0,226.0371,0.0,0.0,8,-8.49,1,218.186,67.033,3,0.825482552139,0.792990130445,,British Columbia,,Michael Bublé,Caught In The Act,0.642627688787,Smile (Live),2005
18300,0.0,252.49914,0.212,0.0,0,-7.429,0,252.499,128.202,5,0.929030287441,0.750426551019,54.31407,UK,-2.23001,Muse,Origin Of Symmetry,0.80393701875,Bliss,0
18866,0.0,168.04526,0.345,0.0,7,-13.471,1,162.354,100.82,4,0.788711034249,0.7417239014,41.08419,"Akron, OH",-81.51406,The Black Keys,Thickfreakness,,I Cry Alone,2003
18986,0.0,300.2771,0.444,0.0,0,-14.874,0,297.053,95.23,5,0.70747876636,0.699277460562,,,,Adam Sandler,They're All Gonna Laugh At You!,0.538422402971,I'm So Wasted (Album Version),0
19387,0.0,178.6771,0.0,0.0,2,-6.759,1,169.21,133.08,4,0.825482552139,0.792990130445,,British Columbia,,Michael Bublé,It's Time,0.802808887572,How Sweet It Is (Album Version),2005
20203,0.0,221.20444,0.0,0.0,9,-6.056,0,215.62,117.108,4,0.929030287441,0.791500972758,54.31407,UK,-2.23001,Muse,Starlight,0.6920771356,Easily,0
20329,0.0,261.72036,0.0,0.0,2,-5.266,1,261.72,151.11,4,0.871010613879,0.879236744738,,"St. Joseph, MO",,Eminem,Encore,0.734412649559,Evil Deeds,2004
20330,0.0,289.85424,0.127,0.0,3,-9.183,1,275.209,102.479,4,0.934935267398,0.787005468689,40.71455,"New York, New York",-74.00712,Mariah Carey,R&B: From Doo-Wop To Hip-Hop,0.488289876037,Fantasy,1995
20682,0.0,120.42404,0.252,0.0,9,-8.196,1,114.004,157.111,1,0.814829656133,0.741242272469,51.50632,"London, England",-0.12714,The Rolling Stones,Metamorphosis,0.637656536357,Don't Lie To Me,1975
20757,0.0,318.37995,0.0,0.0,10,-7.576,0,318.38,109.681,4,0.843526543333,0.825639110796,,"Dublin, Ireland",,U2,Under A Blood Red Sky,0.55437124319,Sunday Bloody Sunday,1980
20759,0.0,186.14812,1.099,0.0,0,-14.011,1,180.28,88.146,1,0.850789988555,0.838095532425,40.23447,"Freehold, NJ",-74.29504,Bruce Springsteen,Darkness On The Edge Of Town / The Wild_ The Innocent And The E Street Shuffle / Greetings From Asbury Park N.J.,0.646634568644,Growin' Up,1973
21302,0.0,212.63628,0.0,0.0,9,-4.534,0,206.228,133.174,3,0.827357260054,0.752927890401,,"Madrid, Spain",,Enrique Iglesias,Greatest Hits,0.933843973722,Bailamos,1998
21318,0.0,277.65506,0.0,0.0,1,-13.975,1,262.554,110.928,4,0.887566847197,0.758596798106,,"Dublin, Ireland",,U2,Please,,With Or Without You,1987
21703,0.0,299.85914,0.329,0.0,6,-10.29,1,285.826,143.879,4,0.737437395434,0.663686475969,,"Charlemagne, Quebec, Canada",,Céline Dion,The Collector's Series Volume One,0.614765809281,The Reason,1997
22119,0.0,152.65914,2.339,0.0,7,-7.282,1,144.649,86.94,4,0.826163133508,0.545958551676,33.24397,"Barnwell, SC",-81.36573,James Brown,The Singles Volume 5: 1967-1969 (E),,Come On In The House,0
22553,0.0,187.45424,0.0,0.0,7,-8.388,1,182.938,84.691,4,0.825482552139,0.792990130445,,British Columbia,,Michael Bublé,We All Love Ella: Celebrating The First Lady Of Song,0.567591725042,Too Close For Comfort,2007
22731,0.0,19.35628,0.0,0.0,3,-21.72,1,19.356,91.797,1,0.871010615313,0.879236744738,,"St. Joseph, MO",,Eminem,Relapse: Refill,0.695608031707,Paul,1999
23446,0.0,286.24934,0.0,0.0,10,-5.593,0,273.496,115.33,4,0.902840760111,1.02125558749,,"Paris, France",,Daft Punk,Human After All,,Television Rules The Nation,2005
24028,0.0,225.67138,0.723,0.0,3,-3.956,0,220.114,99.379,3,0.887386080596,0.79114300239,34.05349,"Los Angeles, CA",-118.24532,Linkin Park,Shadow Of The Day,,No More Sorrow [Third Encore Session],2007
24097,0.0,447.42485,0.0,0.0,7,-9.365,1,442.578,102.633,4,0.852136186667,0.780334119573,,"Los Angeles, CA",,Metallica,...And Justice For All,0.986028055742,One,1988
24503,0.0,270.99383,4.592,0.0,6,-23.602,1,262.316,128.272,4,0.850789988555,0.838095532425,40.23447,"Freehold, NJ",-74.29504,Bruce Springsteen,Nebraska,,Nebraska,1982
24645,0.0,219.71546,3.686,0.0,10,-14.111,1,212.288,95.346,1,0.86652031981,0.766545450757,,,,Michael Jackson,Hello World - The Motown Solo Collection,,Too Young,1973
25195,0.0,244.45342,3.268,0.0,1,-9.599,1,229.436,63.19,4,0.902840760111,1.02125558749,,"Paris, France",,Daft Punk,Homework,0.705892473897,Fresh,1996
25321,0.0,114.49424,0.0,0.0,8,-5.819,1,112.181,90.992,4,0.871010305647,0.804830427831,,"St. Joseph, MO",,Eminem,Eminem Presents The Re-Up,0.643800889048,Public Enemy #1,2006
25347,0.0,371.35628,0.0,0.0,6,-4.155,0,359.636,211.543,4,0.84297210826,0.793412622763,,,,Jason Mraz,Tonight_ Not Again: Jason Mraz Live At The Eagles Ballroom,0.451934552723,Too Much Food [Eagles Ballroom Live Version],0
25499,0.0,168.80281,0.154,0.0,9,-6.722,1,162.551,137.835,4,0.826918904058,0.664676434343,,"London, England",,Queen,The Game,,Need Your Loving Tonight (1994 Digital Remaster),1980
25696,0.0,259.99628,0.0,0.0,0,-5.378,1,243.217,117.018,4,0.737437395434,0.663686475969,,"Charlemagne, Quebec, Canada",,Céline Dion,Falling Into You,0.627999140026,Declaration Of Love,1996
25746,0.0,237.63546,0.816,0.0,10,-11.221,1,232.821,78.572,4,0.691133728644,0.53105019318,,"New Orleans, LA",,Harry Connick_ Jr.,Only You,0.549342331788,For Once In My Life,2004
25839,0.0,213.002,5.341,0.0,5,-11.896,1,200.319,132.577,4,0.850789988555,0.838095532425,40.23447,"Freehold, NJ",-74.29504,Bruce Springsteen,Born In The U.S.A.,,I'm Goin' Down,1984
26393,0.0,195.52608,0.0,0.0,6,-5.987,1,186.886,91.032,4,0.827357260054,0.752927890401,,"Madrid, Spain",,Enrique Iglesias,Maybe,0.818238662874,Maybe,2001
26658,0.0,199.18322,0.456,0.0,7,-16.901,1,191.53,86.139,1,0.80807690374,0.668671178568,,"Albany, GA",,Ray Charles,Hit the Road Jack!,,Moon Over Miami,0
27724,0.0,396.82567,0.0,0.0,7,-9.626,1,385.8,111.974,4,0.902840760111,1.02125558749,,"Paris, France",,Daft Punk,Alive 2007,0.392008771471,Da Funk / Dadftendirekt,2007
27735,0.0,187.50649,0.0,0.0,7,-3.718,1,177.917,88.36,4,0.84297210826,0.755334784437,,,,Jason Mraz,Mr. A-Z,0.722215386444,Wordplay (Album Version),2005
27987,0.0,122.93179,0.135,0.0,7,-6.279,1,117.545,98.333,3,0.814829656133,0.776037656053,51.50632,"London, England",-0.12714,The Rolling Stones,Singles 1963-1965,,If You Need Me,1964
28083,0.0,164.67546,0.16,0.0,9,-11.23,1,159.457,96.056,1,0.817256939293,0.735208877747,,"Kingsland, AR",,Johnny Cash,The Legend,,We Ought To Be Ashamed,0
28312,0.0,247.84934,0.113,0.0,10,-4.894,0,247.849,239.33,4,0.902840760111,1.02125558749,,"Paris, France",,Daft Punk,Human After All,0.689430910242,The Brainwasher,2005
28340,0.0,322.01098,3.692,0.0,9,-4.953,1,309.65,85.747,4,0.871010615313,0.852677055416,,"St. Joseph, MO",,Eminem,8 Mile,0.575236365318,Lose Yourself,2002
28707,0.0,216.60689,0.374,0.0,0,-7.956,1,208.022,127.974,5,0.644238764665,0.438534146574,,,,DJ Bobo,Olé Olé The Party Instrumentals,,The Sun Will Shine On You,0
28799,0.0,191.68608,0.0,0.0,0,-21.856,1,184.773,97.402,3,0.817256939293,0.735208877747,,"Kingsland, AR",,Johnny Cash,At Osteraker Prison,,The Invertebraes,0
29772,0.0,185.93914,0.143,0.0,11,-6.83,0,179.914,166.553,4,0.463684909421,0.7417239014,41.08419,"Akron, OH",-81.51406,The Black Keys,Brothers,0.830184545171,Shes Long Gone,2010
29995,0.0,229.14567,0.142,0.0,9,-12.829,0,214.274,100.013,4,0.902840760111,1.02125558749,,"Paris, France",,Daft Punk,Discovery,0.89369101697,Something About Us,2001
30040,0.0,305.29261,2.641,0.0,4,-7.896,1,298.098,127.534,1,0.850789988555,0.838095532425,40.23447,"Freehold, NJ",-74.29504,Bruce Springsteen,The Essential Bruce Springsteen,,Blinded By The Light,1973
30073,0.0,234.00444,0.148,0.0,5,-5.766,0,216.805,152.643,5,0.847451713218,0.779968004597,49.26044,"Hanna, Alberta, Canada",-123.11403,Nickelback,Curb,0.235396042388,Just Four (Album Version),1996
30397,0.0,202.94485,0.787,0.0,5,-17.314,0,199.999,135.989,5,0.644238764665,0.438534146574,,,,DJ Bobo,Fantasy Instrumental Version,,A Moment To Remember,2010
30664,0.0,256.522,0.136,0.0,4,-4.89,0,243.374,145.246,4,0.823688062527,0.807587096405,,"Freehold, NJ",,Bruce Springsteen,Magic,,Last To Die,2007
30863,0.0,289.04444,0.177,0.0,1,-9.605,0,278.291,225.215,4,0.8650215115,0.916053228284,,,,Coldplay,Trouble (B-Side),0.772487055126,Brothers & Sisters,1999
31210,0.0,189.962,0.299,0.0,9,-4.27,1,181.005,100.182,5,0.887386080596,0.79114300239,34.05349,"Los Angeles, CA",-118.24532,Linkin Park,Hybrid Theory,0.579767081143,Papercut [Recorded Live At BBC1],2000
31281,0.0,191.18975,3.379,0.0,9,-4.204,1,186.671,175.692,4,0.86415131297,0.749451752877,,"Los Angeles, CA",,Metallica,Garage Inc.,,Crash Course In Brain Surgery,1987
31387,0.0,277.08036,0.0,0.0,9,-9.871,1,272.637,138.025,3,0.934935267398,0.787005468689,40.71455,"New York, New York",-74.00712,Mariah Carey,Emotions,0.592641203347,If It's Over,1991
31450,0.0,110.65424,2.461,0.0,8,-25.522,1,104.815,118.585,4,0.432839367307,0.366905852789,,,,John Frizzell,Whiteout : Music from The Original Motion Picture,,The Clues,2009
31560,0.0,227.26485,0.154,0.0,5,-9.002,0,217.658,82.713,1,0.691133728644,0.53105019318,,"New Orleans, LA",,Harry Connick_ Jr.,My New Orleans,0.539872647373,Lazy Bones,2007
31718,0.0,233.482,0.0,0.0,5,-2.776,1,233.482,132.754,1,0.814829656133,0.735765692951,51.50632,"London, England",-0.12714,The Rolling Stones,Flashpoint,,Start Me Up,1981
32098,0.0,1119.03302,1.013,0.0,7,-9.282,1,1107.737,102.409,4,0.522860138254,0.365247218514,,,,Ustad Nusrat Fateh Ali Khan,House Of Shah 2 Vol. 39,,Jya Haiyo Ya Qayyum,0
32752,0.0,193.04444,0.409,0.0,5,-13.155,0,180.924,70.497,4,0.902840573925,1.02125558749,,"Paris, France",,Daft Punk,Daft Club,0.629071835595,Too Long (Gonzales Version),2003
34177,0.0,509.962,0.0,0.0,1,-6.731,0,486.905,86.665,1,0.825482552139,0.792990130445,,British Columbia,,Michael Bublé,Save The Last Dance For Me EP,0.386790177139,Save The Last Dance For Me [Ralphi Rosario Hydrolic Dub],0
34367,0.0,323.97016,0.107,0.0,11,-6.414,1,312.802,115.03,4,0.887566847197,0.761375888915,,"Dublin, Ireland",,U2,No Line On The Horizon,,Magnificent,2009
34595,0.0,227.10812,0.0,0.0,2,-4.424,1,218.854,89.271,4,0.70747876636,0.699277460562,,,,Adam Sandler,Shhh...Don't Tell,0.0,The Mayor Of Pussytown (Album Version),0
34802,0.0,135.78404,0.188,0.0,2,-15.387,1,132.865,40.253,4,0.759912526334,0.673207274956,,Washington,,Ray Charles,Ray's Blues,0.417313802803,Now She's Gone,0
35364,0.0,135.88853,3.802,0.0,1,-26.055,1,122.538,132.177,3,0.432839367307,0.366905852789,,,,John Frizzell,Ghost Ship,,Touring The Ship,2002
35386,0.0,168.33261,0.0,0.0,7,-4.717,1,165.698,157.912,4,0.847451713218,0.814334502977,49.26044,"Hanna, Alberta, Canada",-123.11403,Nickelback,The State,0.709714672932,Deep (Album Version),1999
35396,0.0,214.77832,0.293,0.0,8,-4.789,0,203.389,96.018,4,0.842673051097,0.872838920624,,"Atlanta, GA",,T.I.,King,0.83062491781,Why You Wanna (Amended Album Version),2006
35719,0.0,232.54159,0.0,0.0,6,-7.384,1,232.542,109.125,1,0.843526543333,0.750311503248,,"Dublin, Ireland",,U2,October,,I Threw A Brick Through A Window,1981
36425,0.0,869.8771,0.148,0.0,1,-10.231,1,863.103,139.408,4,0.522860138254,0.365247218514,,,,Ustad Nusrat Fateh Ali Khan,Ishq Ka Afsana vol.104,,Tujh Ko Aata Hai Har Ek Dukh Ka Madawa Karna,0
36565,0.0,227.7873,0.532,0.0,6,-10.897,0,216.189,105.763,4,0.887566847197,0.761375888915,,"Dublin, Ireland",,U2,The Unforgettable Fire,,Pride (In The Name Of Love),1984
36871,0.0,162.69016,0.374,0.0,0,-12.032,1,155.057,110.515,7,0.842332789509,0.747251065679,,"Kingsland, AR",,Johnny Cash,Ring Of Fire,,Ring Of Fire,1963
37121,0.0,154.53995,0.319,0.0,8,-7.647,0,146.431,150.022,1,0.808085203255,0.711719503233,,"Albany, GA",,Ray Charles,Legends Of Rock Vol 6,,Hallelujah I Love Her So,0
37551,0.0,448.46975,0.0,0.0,1,-4.596,1,443.925,130.044,4,0.902840760111,1.02125558749,,"Paris, France",,Daft Punk,Musique Vol 1,0.812125855345,Rollin' & Scratchin',1995
38201,0.0,543.84281,0.218,0.0,1,-5.68,1,540.851,135.267,3,0.852136186667,0.780334119573,,"Los Angeles, CA",,Metallica,Garage Inc.,0.758840074165,Tuesday's Gone,1997
38426,0.0,223.32036,4.36,0.0,2,-8.016,1,215.499,106.056,4,0.831197177107,0.776167742324,,,,Weezer,Raditude,0.737896283436,Love Is The Answer,2009
38821,0.0,160.10404,0.0,0.0,7,-9.551,1,154.575,80.376,1,0.859513992879,0.812307796139,,"Berkeley, CA",,Green Day,The Original Broadway Cast Recording 'American Idiot' Featuring Green Day,0.6719783907,When It's Time [feat. Green Day & The Cast Of American Idiot] (Album Version),0
39061,0.0,263.94077,2.577,0.0,5,-10.001,1,256.743,87.933,4,0.934935267398,0.787005468689,40.71455,"New York, New York",-74.00712,Mariah Carey,#1's,0.662357145082,I'll Be There,1993
39495,0.0,218.90567,0.113,0.0,1,-6.852,0,211.116,69.802,4,0.835271500301,0.7417239014,41.08419,"Akron, OH",-81.51406,The Black Keys,Brothers,0.814198760547,Never Gonna Give You Up,2010
39530,0.0,199.6273,0.363,0.0,11,-10.352,0,192.25,128.798,4,0.843526543333,0.825639110796,,"Dublin, Ireland",,U2,Even Better Than The Real Thing (Remix),,Even Better Than The Real Thing,1991
40032,0.0,189.59628,0.404,0.0,5,-14.154,1,176.884,79.734,4,0.865136020736,0.687590402495,,"London, England",,Queen,News Of The World,,All Dead All Dead (1993 Digital Remaster),1977
40185,0.0,128.20853,0.157,0.0,0,-4.366,0,125.243,193.203,4,0.859513992879,0.812307796139,,"Berkeley, CA",,Green Day,Insomniac,0.68921646791,Bab's Uvula Who? (Album Version),1995
40362,0.0,346.14812,0.0,0.0,8,-11.736,1,337.131,168.221,3,0.826163133508,0.542922559397,33.24397,"Barnwell, SC",-81.36573,James Brown,Soul Session Live,,When A Man Loves A Woman,0
41338,0.0,200.56771,3.924,0.0,7,-6.0,1,192.923,119.749,4,0.934935267398,0.787005468689,40.71455,"New York, New York",-74.00712,Mariah Carey,Glitter,0.588385843491,Reflections(Care Enough),2001
41349,0.0,161.20118,0.553,0.0,8,-7.752,1,158.018,121.146,4,0.625928646289,0.276944946636,38.8991,Washington DC,-77.029,Weezer,Cool - Rock,,Buddy Holly,0
41849,0.0,591.04608,0.386,0.0,0,-6.551,1,581.724,131.988,4,0.934935267398,0.787005468689,40.71455,"New York, New York",-74.00712,Mariah Carey,Don't Forget About Us,,Don't Forget About Us,2005
41865,0.0,185.62567,0.532,0.0,10,-5.227,0,182.892,167.9,4,0.842673051097,0.872838920624,,"Atlanta, GA",,T.I.,Trap Muzik,,Look What I Got (Explicit Album Version),2003
